symbol,side,entry_bar,entry_price,exit_bar,exit_price,quantity,stop_loss,atr,rs_slope,volatility_rank,pnl_pct,pnl_usd,exit_reason,pyramid_added,candles_held,entry_balance,exit_balance
CHZ/USDT:USDT,long,481,0.04866129,486,0.04822228079051972,1762.0974133838458,0.04824640399251597,0.00020744300374201402,0.00025315771455339394,0.0,-0.22851628223129042,-3.918868376133547,stop_loss,False,6,17.14918664818424,13.230318272050694
ICP/USDT:USDT,long,485,6.139854,486,6.142920857072999,20.948201677333337,6.145993853999999,0.029907719066751767,0.0007427930650316605,0.0,0.01422900224999814,0.2440158154026516,stop_loss,True,2,17.14918664818424,13.474334087453345
FARTCOIN/USDT:USDT,long,485,0.5451543,487,0.54542660457285,235.9311847331697,0.5456994542999999,0.00913988621728702,0.00040320253300239387,0.0,0.014229002249999359,0.24401581540267253,stop_loss,True,3,17.14918664818424,13.718349902856017
VVV/USDT:USDT,short,461,3.1081049999999997,492,3.1035509999999995,38.64535115876744,3.1049968949999998,0.020166142638977133,0.000913878562577482,0.0,0.05045164835165039,0.807991954944681,time_stop,True,32,16.01517455510945,14.526341857800698
STEEM/USDT:USDT,short,543,0.14134119999999997,547,0.14127045872939997,770.8125014751909,0.14119985879999997,0.0006937540879390354,-0.00016129032258063082,0.0,0.01427100224999998,0.20730545733694267,stop_loss,True,5,14.526341857800698,14.733647315137642
ENA/USDT:USDT,short,557,0.41431389999999996,567,0.42179382838833257,177.80778432895497,0.4215830368698976,0.0036345684349488217,-0.00010004585434989611,0.0,-0.45439844329017287,-6.6949464039849795,stop_loss,False,11,14.733647315137642,8.038700911152663
GRASS/USDT:USDT,short,591,1.5546530999999997,592,1.5538749961234497,38.78052076932467,1.5530984468999998,0.01338719909029263,-0.00012563408630372302,0.0,0.014271002249999366,0.11472031879013161,stop_loss,True,2,8.038700911152663,8.153421229942795
LUNC/USDT:USDT,long,596,6.84315e-05,596,6.77875700795094e-05,595735.9717339817,6.782148081991936e-05,3.0500959004032406e-07,0.00045103251932109527,0.0,-0.23821793651320722,-1.9422911809199488,stop_loss,False,1,8.153421229942795,6.211130049022847
FLOW/USDT:USDT,short,598,0.42832789999999993,601,0.4281135218860499,108.75657496901641,0.4278995720999999,0.0020112939510791086,5.797766712238475e-05,0.0,0.01427100225000273,0.08863905090466462,stop_loss,True,4,6.211130049022847,6.299769099927511
CHZ/USDT:USDT,short,598,0.04823818999999999,605,0.04821404678590499,965.696999984273,0.04818995180999999,0.00030755715515043565,-0.0001672172853028808,0.0,0.01427100225000227,0.08863905090466176,stop_loss,True,8,6.211130049022847,6.388408150832173
GRASS/USDT:USDT,long,643,1.5415569,651,1.5163566848437273,20.720636879612336,1.5171152424649597,0.012220828767520184,0.0005650236588429833,0.0,-0.4116321940249811,-2.6296744634541196,stop_loss,False,9,6.388408150832173,3.758733687378053
PIPPIN/USDT:USDT,short,678,0.01829828,687,0.01828912171086,1540.6094264234341,0.01827998172,0.00016256359367496965,0.0007555238774055744,0.0,0.014271002249997606,0.05364089690971399,stop_loss,True,10,3.758733687378053,3.812374584287767
SPX/USDT:USDT,long,688,0.6255738,692,0.6125346371953462,30.471021838572586,0.6128410577242083,0.0063663711378958154,0.001445082944811855,0.0,-0.5240255810392485,-1.9977818066706603,stop_loss,False,5,3.812374584287767,1.814592777617107
VVV/USDT:USDT,short,692,2.9599569999999997,696,3.000720372209775,6.43991548574484,2.9992207618288607,0.01963188091443052,0.0005720144545141961,0.0,-0.3473315546006267,-1.324157991080588,stop_loss,False,5,3.812374584287767,0.49043478653651884
LUNC/USDT:USDT,long,726,6.624368999999999e-05,730,6.56002895563698e-05,37017.47189328666,6.563310610942451e-05,3.052919452877404e-07,0.00012976121295366855,0.0,-0.24578660940270372,-0.12054230331594973,stop_loss,False,5,0.49043478653651884,0.3698924832205691
