bar,equity_usd
887,0.28897
888,0.28897
889,0.28897
890,0.28897
891,0.28897
892,0.28897
893,0.28897
894,0.28897
895,0.28897
896,0.28897
897,0.28897
898,0.28897
899,0.28897
900,0.28897
901,0.28897
902,0.28897
903,0.28897
904,0.28897
905,0.28897
906,0.28897
907,0.28897
908,0.28897
909,0.28897
910,0.28897
911,0.28897
912,0.28897
913,0.28897
914,0.28897
915,0.28897
916,0.28897
917,0.28897
918,0.28897
919,0.28897
920,0.28897
921,0.28897
922,0.28897
923,0.28897
924,0.28897
925,0.28897
926,0.28897
927,0.28897
928,0.28897
929,0.28897
930,0.28897
931,0.28897
932,0.28897
933,0.28897
934,0.28897
935,0.28897
936,0.28897
937,0.28897
938,0.28897
939,0.28897
940,0.28897
941,0.28897
942,0.28897
943,0.28897
944,0.28897
945,0.28897
946,0.28897
947,0.28897
948,0.28897
949,0.28897
950,0.28897
951,0.28897
952,0.28897
953,0.28897
954,0.28897
955,0.28897
956,0.28897
957,0.28897
958,0.28897
959,0.28897
960,0.28897
961,0.28897
962,0.28897
963,0.28897
964,0.28897
965,0.28897
966,0.28897
967,0.28897
968,0.28897
969,0.28897
970,0.28897
971,0.28897
972,0.28897
973,0.28897
974,0.28897
975,0.28897
976,0.28897
977,0.28897
978,0.28897
979,0.28897
980,0.28897
981,0.28897
982,0.28897
983,0.28897
984,0.28897
985,0.28897
986,0.28897
987,0.28897
988,0.28897
989,0.28897
990,0.28897
991,0.28897
992,0.28897
993,0.28897
994,0.28897
995,0.28897
996,0.28897
997,0.28897
998,0.28897
999,0.28897
1000,0.28897
1001,0.28897
1002,0.28897
1003,0.28897
1004,0.28897
1005,0.28897
1006,0.28897
1007,0.28897
1008,0.28897
1009,0.28897
1010,0.28897
1011,0.28897
1012,0.28897
1013,0.28897
1014,0.28897
1015,0.28897
1016,0.28897
1017,0.28897
1018,0.28897
1019,0.28897
1020,0.28897
1021,0.28897
1022,0.28897
1023,0.28897
1024,0.28897
1025,0.28897
1026,0.28897
1027,0.28897
1028,0.28897
1029,0.28897
1030,0.28897
1031,0.28897
1032,0.28897
1033,0.28897
1034,0.28897
1035,0.28897
1036,0.28897
1037,0.28897
1038,0.28897
1039,0.28897
1040,0.28897
1041,0.28897
1042,0.28897
1043,0.28897
1044,0.28897
1045,0.28897
1046,0.28897
1047,0.28897
1048,0.28897
1049,0.28897
1050,0.28897
1051,0.28897
1052,0.28897
1053,0.28897
1054,0.28897
1055,0.28897
1056,0.28897
1057,0.28897
1058,0.28897
1059,0.28897
1060,0.28897
1061,0.28897
1062,0.28897
1063,0.28897
1064,0.28897
1065,0.28897
1066,0.28897
1067,0.28897
1068,0.28897
1069,0.28897
1070,0.28897
1071,0.28897
1072,0.28897
1073,0.28897
1074,0.28897
1075,0.28897
1076,0.28897
1077,0.28897
1078,0.28897
1079,0.28897
1080,0.28897
1081,0.28897
1082,0.28897
1083,0.28897
1084,0.28897
1085,0.28897
1086,0.28897
1087,0.28897
1088,0.28897
1089,0.28897
1090,0.28897
1091,0.28897
1092,0.28897
1093,0.28897
1094,0.28897
1095,0.28897
1096,0.28897
1097,0.28897
1098,0.28897
1099,0.28897
1100,0.28897
1101,0.28897
1102,0.28897
1103,0.28897
1104,0.28897
1105,0.28897
1106,0.28897
1107,0.28897
1108,0.28897
1109,0.28897
1110,0.28897
1111,0.28897
1112,0.28897
1113,0.28897
1114,0.28897
1115,0.28897
1116,0.28897
1117,0.28897
1118,0.28897
1119,0.28897
1120,0.28897
1121,0.28897
1122,0.28897
1123,0.28897
1124,0.28897
1125,0.28897
1126,0.28897
1127,0.28897
1128,0.28897
1129,0.28897
1130,0.28897
1131,0.28897
1132,0.28897
1133,0.28897
1134,0.28897
1135,0.28897
1136,0.28897
1137,0.28897
1138,0.28897
1139,0.28897
1140,0.28897
1141,0.28897
1142,0.28897
1143,0.28897
1144,0.28897
1145,0.28897
1146,0.28897
1147,0.28897
1148,0.28897
1149,0.28897
1150,0.28897
1151,0.28897
1152,0.28897
1153,0.28897
1154,0.28897
1155,0.28897
1156,0.28897
1157,0.28897
1158,0.28897
1159,0.28897
1160,0.28897
1161,0.28897
1162,0.28897
1163,0.28897
1164,0.28897
1165,0.28897
1166,0.28897
1167,0.28897
1168,0.28897
1169,0.28897
1170,0.28897
1171,0.28897
1172,0.28897
1173,0.28897
1174,0.28897
1175,0.28897
1176,0.28897
1177,0.28897
1178,0.28897
1179,0.28897
1180,0.28897
1181,0.28897
1182,0.28897
1183,0.28897
1184,0.28897
1185,0.28897
1186,0.28897
1187,0.28897
1188,0.28897
1189,0.28897
1190,0.28897
1191,0.28897
1192,0.28897
1193,0.28897
1194,0.28897
1195,0.28897
1196,0.28897
1197,0.28897
1198,0.28897
1199,0.28897
1200,0.28897
1201,0.28897
