2026-02-24 11:55:23 | INFO     | v10k | [main] No signal on PAXG/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike']
2026-02-24 11:56:12 | INFO     | v10k | [scanner] Starting asset scan …
2026-02-24 11:56:12 | INFO     | v10k | [scanner] Universe: 30 symbols
2026-02-24 11:56:17 | INFO     | v10k | [scanner] POWER/USDT:USDT rejected — funding rate 0.00084 > cap 0.00050
2026-02-24 11:56:17 | INFO     | v10k | [scanner] After funding filter: 29 symbols
2026-02-24 11:56:23 | INFO     | v10k | [scanner] Top RS slopes: [('ETH/USDT:USDT', 6.102737706064856e-06), ('XAUT/USDT:USDT', 6.0409439293322026e-06), ('PAXG/USDT:USDT', 4.6723175771051895e-06), ('ZEC/USDT:USDT', 2.3373071421103374e-06), ('AAVE/USDT:USDT', 1.1679111624318916e-06)]
2026-02-24 11:56:23 | INFO     | v10k | [scanner] Candidate accepted: ETH/USDT:USDT (RS slope=0.000006)
2026-02-24 11:56:23 | INFO     | v10k | [scanner] Candidate accepted: XAUT/USDT:USDT (RS slope=0.000006)
2026-02-24 11:56:23 | INFO     | v10k | [scanner] Candidate accepted: PAXG/USDT:USDT (RS slope=0.000005)
2026-02-24 11:56:23 | INFO     | v10k | [scanner] Final candidates: ['ETH/USDT:USDT', 'XAUT/USDT:USDT', 'PAXG/USDT:USDT']
2026-02-24 11:56:23 | INFO     | v10k | [main] Balance: $100.00 USDT
2026-02-24 11:56:24 | INFO     | v10k | [strategy] ETH/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✓ → skip
2026-02-24 11:56:24 | INFO     | v10k | [main] No signal on ETH/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike']
2026-02-24 11:56:24 | INFO     | v10k | [strategy] XAUT/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✗ → skip
2026-02-24 11:56:24 | INFO     | v10k | [main] No signal on XAUT/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike', 'avwap']
2026-02-24 11:56:24 | INFO     | v10k | [strategy] PAXG/USDT:USDT | DC:✗ BBW:✗ GRV:✓ VOL:✗ AVWAP:✓ → skip
2026-02-24 11:56:24 | INFO     | v10k | [main] No signal on PAXG/USDT:USDT: conditions failed: ['donchian_breakout', 'bbw_expansion', 'volume_spike']
2026-02-26 22:53:55 | INFO     | v10k | [backtest] Symbol=BTC/USDT Dir=BOTH Candles=2000 Balance=$100.00
2026-02-26 22:53:55 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-26 23:01:00 | INFO     | v10k | [backtest] Symbol=BTC/USDT Dir=BOTH Candles=20000 Balance=$100.00
2026-02-26 23:01:00 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-26 23:04:19 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-26 23:07:03 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-26 23:08:09 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-26 23:17:15 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-26 23:17:18 | INFO     | v10k | [data] Volatility ranking: top coin=SIREN/USDT:USDT (88.66% daily range), bottom=GIGGLE/USDT:USDT (9.76%)
2026-02-27 00:08:17 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-27 00:08:19 | INFO     | v10k | [data] Volatility ranking: top coin=POWER/USDT:USDT (79.07% daily range), bottom=TAO/USDT:USDT (7.93%)
2026-02-27 00:11:31 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
2026-02-27 00:11:34 | INFO     | v10k | [data] Volatility ranking: top coin=POWER/USDT:USDT (79.23% daily range), bottom=BCH/USDT:USDT (6.25%)
2026-02-27 00:22:28 | INFO     | v10k | [execution] Mode: PAPER — using MEXC public data, all orders simulated locally
